date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Los Angeles County,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,New York city,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1987/3/1,163061,26640,111599,90199,842221,139917,59462,10311,22137,321711,166723,19893,38307,446422,178600,85419,63411,149879,264263,240573,26845,105058,111986,377697,120028,123701,166925,30808,35584,34709,12288,162800,61906,427204,191029,159044,16779,405153,119302,85227,332442,20440,97971,15317,168244,728726,50587,11901,136292,172295,84074,151107,21663
1987/4/1,158772,26222,108390,89499,825110,136767,57956,10200,21511,319390,164567,19769,37653,445270,176798,84411,62514,146786,259305,236657,26188,103645,109049,380693,119706,120657,167197,30350,35316,34758,12182,162201,61169,417108,185894,155520,16512,396894,116375,83773,328429,20233,95132,15292,165453,719028,50025,11632,132955,168772,83231,148132,20915
1987/5/1,154671,25778,105117,88951,808354,132676,56283,10060,20939,316998,163682,19578,36927,441197,174628,83510,61596,143337,253716,232813,25700,102542,105911,382810,119034,117874,166169,29979,35174,34738,12185,161666,60516,408015,181032,151994,16276,387051,113187,83013,325479,19932,91256,15235,162164,711067,49122,11377,129221,165403,82292,145049,20138
1987/6/1,151125,25368,102260,88564,793963,128223,54667,9903,20448,314840,164302,19336,36196,434914,172174,82847,60810,139964,248208,229383,25419,101848,102949,382878,118192,115582,164250,29770,35030,34706,12402,160870,60066,401301,177281,148682,16127,376525,110154,83090,323542,19518,87307,15144,158212,704796,48003,11149,125277,162684,81381,142286,19435
1987/7/1,148411,25018,100243,88274,782832,123962,53283,9762,20031,313469,166290,19049,35577,427667,169375,82282,60142,137052,243125,226594,25291,101491,100526,380787,117369,113805,161984,29715,34744,34724,12799,159740,59823,397729,175284,145461,16082,366260,107534,83899,322174,18996,84380,15048,153790,699191,46861,10934,121511,160957,80650,140236,18877
1987/8/1,146595,24705,99338,88118,775387,120645,52258,9714,19679,313074,169289,18703,35115,420866,166071,81517,59530,134906,239021,224641,25237,101581,98922,377987,116459,112332,159522,29757,34269,34774,13241,158577,59672,396629,174684,142939,16115,356826,105715,85217,321430,18447,83113,14985,149486,693371,45860,10720,118495,160265,80124,138805,18475
1987/9/1,145302,24396,99284,88049,770534,118779,51542,9797,19341,312971,172456,18299,34672,415394,162019,80321,58874,133526,236117,223251,25084,102172,98107,375787,114941,110752,156588,29759,33544,34734,13576,157336,59446,395600,174035,141489,16147,348338,104753,86530,320980,17990,83189,14967,145740,686685,45040,10497,116554,159979,79599,137289,18128
1987/10/1,144112,24076,99773,88001,767028,118252,51026,9997,19006,312893,175119,17879,34169,412196,157702,78641,58250,132838,234196,222104,24707,103110,97937,374879,112606,108867,153114,29620,32623,34519,13695,156049,59085,392775,172361,140595,16127,341775,104205,87315,320502,17626,83821,15027,142816,680141,44315,10268,115557,159427,79018,135050,17739
1987/11/1,142697,23719,100473,87803,763023,118354,50543,10228,18690,312691,177067,17468,33532,411101,153557,76590,57705,132526,232346,220679,24036,104051,98105,375232,109605,106525,149156,29302,31696,34080,13628,154556,58536,386575,169186,139267,16010,337961,103570,87071,319108,17188,84055,15140,140506,673713,43535,10010,115015,158085,78380,131875,17289
1987/12/1,141051,23365,101394,87486,758293,118421,50020,10382,18411,312608,178791,17096,32786,411366,149947,74525,57385,132381,229936,218967,23116,104811,98428,375897,106462,103855,145360,28861,30940,33435,13471,152876,57869,377056,164739,137049,15815,336794,102568,86041,316505,16573,83587,15276,138616,667236,42584,9705,114705,155885,77831,127963,16829
1988/1/1,139226,23017,102502,87074,753067,117845,49459,10396,18143,312483,180301,16735,32037,411387,146860,72741,57298,132032,226832,216852,22087,105132,98769,374717,103500,101045,142623,28373,30296,32678,13243,151084,57125,365072,159367,133695,15592,336773,100947,84802,312603,15806,82521,15380,136953,660237,41424,9352,114583,153171,77405,123533,16364
1988/2/1,137392,22685,103680,86583,748040,116425,48932,10254,17846,311990,181141,16393,31335,409898,144406,71403,57300,131339,223474,214324,21221,104811,99085,369682,101035,98459,141477,27927,29769,31932,13024,149365,56302,352723,153922,129512,15376,335873,98836,83805,307676,15015,81136,15372,135574,651999,40138,8995,114848,150546,76974,119150,15909
1988/3/1,135829,22434,105006,86141,744835,114550,48616,10015,17505,311167,181076,16111,30716,407027,142898,70635,57354,130560,220740,211775,20808,104110,99542,361045,99459,96384,142038,27616,29350,31315,12955,148055,55437,343363,150082,125373,15217,332935,96879,83266,302710,14383,79873,15221,134698,642561,38935,8697,115623,148512,76454,115511,15524
1988/4/1,134887,22278,106450,85879,744246,112745,48654,9827,17142,310541,180205,15908,30230,403218,142469,70323,57428,129952,219159,209644,20866,103539,100338,351207,98814,95112,144160,27467,29028,30922,13128,147365,54536,339780,149538,121947,15151,328657,95689,83197,298627,14047,78936,14959,134373,632838,38055,8505,116977,147500,75837,112960,15260
1988/5/1,134575,22168,107830,85801,745573,111263,48999,9810,16791,310400,178704,15779,29887,398610,142938,70138,57416,129565,218593,207926,21315,103390,101437,342642,98949,94796,146937,27409,28756,30717,13508,147234,53628,342533,152558,119867,15166,324154,95266,83244,295997,14082,78257,14660,134562,623992,37562,8449,118893,147344,75109,111486,15136
1988/6/1,134763,22067,108911,85764,747432,110145,49511,9980,16465,310818,176848,15712,29641,393866,143952,69809,57310,129214,218762,206184,21987,103641,102717,336783,99458,95338,149140,27305,28469,30576,13985,147420,52590,349429,157655,119349,15207,320060,95406,83075,294918,14454,77589,14415,135097,616524,37361,8539,121159,147526,74260,110588,15132
1988/7/1,135320,21972,109534,85642,748960,109232,50102,10287,16169,311979,175106,15722,29396,389965,145255,69250,57256,128772,219569,204149,22668,104146,104121,334185,99849,96503,150387,27045,28156,30351,14444,147944,51389,358024,163295,120165,15225,317085,95989,82486,294793,15020,76642,14278,135740,610630,37244,8749,123312,147335,73334,109812,15209
1988/8/1,136276,21869,109689,85368,749906,108121,50730,10637,15938,314394,173949,15840,29120,387398,146512,68642,57316,128043,220801,201834,23159,104418,105636,334195,100216,98008,150953,26642,27806,30018,14814,148835,50211,367018,168963,121603,15234,315697,96542,81491,294680,15629,75475,14262,136391,606858,37068,9021,124792,146432,72469,109045,15306
1988/9/1,137412,21718,109270,84933,749542,106623,51348,10918,15795,318350,173477,16002,28856,385444,147184,68103,57430,126812,221909,199291,23294,103855,107182,334663,100624,99368,151138,26156,27355,29640,15040,150045,49168,375626,174753,122605,15243,315045,96636,80365,293548,16066,74406,14326,136659,604713,36744,9280,125274,145080,71798,108359,15378
1988/10/1,138105,21427,107946,84271,745964,104645,51864,11030,15674,322638,173131,16043,28544,382289,146216,67480,57404,124776,222144,196144,22934,102141,108476,333156,100501,99973,151067,25616,26732,29224,15058,150904,48229,381951,179951,122613,15191,312814,96104,79370,290465,16204,73488,14356,135878,601794,36265,9455,124584,143365,71097,107507,15377
1988/11/1,138082,20957,105704,83469,739457,102323,52333,10955,15520,326439,172615,15842,28153,377001,143183,66657,57067,122039,221786,192294,22143,99632,109569,328485,99752,99728,150753,25091,26009,28812,14919,151137,47327,385667,184268,121632,15062,307659,94976,78809,285806,16147,72727,14297,133857,597423,35773,9563,123040,141689,70233,106563,15269
1988/12/1,137266,20296,102588,82623,731357,99927,52855,10754,15324,329522,171803,15361,27726,369857,138557,65644,56304,119006,221438,187742,21205,96995,110648,321074,98766,98807,149819,24655,25249,28443,14775,150716,46438,388017,188380,120154,14868,300177,93426,78692,280757,16076,71993,14150,130720,591544,35425,9649,121093,140508,69257,105947,15063
1989/1/1,136019,19496,98920,81861,723744,97863,53552,10552,15128,332323,171105,14665,27320,362247,133353,64543,55274,116201,221656,182611,20441,94909,111995,313226,97984,97534,148223,24354,24572,28148,14845,149700,45665,390407,193004,118893,14625,292475,91767,78787,276528,16103,71424,13956,126843,584269,35323,9750,119379,140066,68336,105987,14839
1989/2/1,134997,18728,95543,81403,719785,96519,54581,10523,14992,335688,171143,13918,27022,355918,128987,63579,54295,114200,223292,177353,20208,93983,114007,307897,97850,96284,146491,24223,24125,27987,15274,148792,45197,394086,198294,118367,14394,287275,90370,79055,274449,16279,71510,13811,123054,577734,35488,9899,118552,140563,67774,107000,14685
1989/3/1,134416,18090,92932,81109,719619,95765,55947,10742,14925,339321,171812,13217,26839,351122,126235,63002,53449,112946,226285,171736,20652,94067,116793,305918,98371,95055,144803,24204,23903,27893,16054,148605,45027,398636,203543,118555,14189,285174,89254,79367,274564,16594,72333,13759,120020,573175,35760,10115,118590,141800,67551,108747,14621
1989/4/1,134254,17674,91403,80755,722753,95344,57629,11130,14903,342768,172765,12684,26732,348317,125493,63025,52781,112359,230324,165514,21709,94644,120368,307392,99369,93850,143509,24239,23821,27796,17118,149819,45129,403614,208301,119555,14038,285470,88502,79448,276471,17017,73756,13807,118119,570611,35983,10405,119136,143319,67476,110811,14638
1989/5/1,134429,17547,90737,80259,728891,95228,59656,11606,14912,346109,173803,12406,26683,348614,126932,63641,52503,112225,235005,158744,23152,95365,124767,312929,100613,92656,142979,24309,23811,27750,18372,152938,45558,409121,212562,121265,13980,288023,88085,79190,279512,17595,75658,13945,117554,569654,36150,10751,120011,144894,67447,112785,14712
1989/6/1,134658,17652,90278,79643,736492,95348,61995,12075,14953,349474,174821,12337,26719,352111,130184,64667,52603,112068,239480,151748,24672,95926,129910,322010,101696,91532,143325,24405,23784,27823,19702,157940,46354,415902,216422,123092,14011,292934,87814,78869,282694,18382,77902,14097,118200,569951,36295,11110,121148,146599,67336,114315,14794
1989/7/1,134509,17875,89321,79033,743736,95757,64513,12410,15029,352900,175531,12390,26824,358210,134304,65764,52900,111508,242971,144767,25990,95969,135516,332646,102531,90493,144197,24495,23696,28034,21009,163815,47341,424151,219901,124386,14089,299485,87486,78707,285881,19466,80269,14200,119525,570871,36435,11432,122468,148362,67016,114818,14848
1989/8/1,133548,18152,87531,78396,749581,96237,67027,12568,15126,356028,175538,12512,26937,365757,138231,66474,53186,110472,245338,137810,26932,95776,141214,342767,103084,89587,145109,24498,23513,28301,22215,169183,48167,432604,222603,124619,14133,307094,87358,78442,289119,20871,82275,14221,120707,569753,36576,11671,123889,149441,66426,114327,14806
1989/9/1,131897,18446,85425,77694,754029,96247,69425,12606,15254,358784,174786,12700,26984,373174,141255,66523,53231,109073,246917,131043,27493,95820,146811,351463,103584,89040,145870,24384,23208,28495,23301,173313,48623,440283,224351,123868,14098,314893,87648,78016,292393,22602,83479,14139,121262,565441,36687,11807,125169,148975,65613,113276,14616
1989/10/1,130259,18702,83897,77019,757598,95531,71666,12596,15476,361604,173445,12960,26922,378578,143020,65998,52956,107367,248172,124928,27799,95926,152288,357743,104509,88911,146441,24175,22740,28572,24343,176170,48662,446832,225611,122495,13991,321453,85883,77551,295545,24393,83736,13964,121019,558932,36734,11892,125977,146933,64697,112028,14282
1989/11/1,129054,18908,83637,76458,761215,94288,73796,12590,15840,364882,171688,13298,26773,380773,143767,65159,52497,105502,249489,119833,27973,95751,157792,360616,105862,89020,146867,23891,22132,28543,25386,178188,48359,451628,226469,120823,13808,325215,84362,76889,298211,25928,83230,13717,120061,551260,36676,11967,126140,143645,63780,110843,13866
1989/12/1,128523,19097,85118,76075,766472,92880,75969,12623,16335,368755,169907,13718,26593,379664,143964,64312,52031,103691,251197,115806,28082,95230,163656,360361,107280,89091,147180,23593,21503,28470,26466,180084,47885,454114,226577,119455,13562,325584,83074,76024,300222,27155,82425,13430,119227,544509,36536,12100,125854,139888,62904,109714,13437
1990/1/1,128479,19265,88063,75797,773352,91548,78152,12652,16895,372722,168359,14165,26417,375266,143802,63639,51587,102207,252845,112674,28154,94555,169789,357257,108356,88730,146869,23346,20864,28414,27582,182348,47291,454026,225672,118957,13291,322357,81878,75178,301231,28094,81598,13149,119060,540131,36320,12331,125358,136392,62115,108474,13020
1990/2/1,128338,19338,91403,75480,780448,90411,80153,12618,17427,375981,167193,14521,26357,368689,142950,63167,51156,101095,253318,110061,28242,94066,175714,351693,108831,87789,145433,23175,20158,28388,28663,184678,46631,451369,223772,119831,13031,316126,80383,74674,301091,28882,80832,12904,119413,537278,36034,12628,124876,133391,61415,107055,12621
1990/3/1,127983,19338,94223,75201,788831,89827,81994,12556,17900,379110,166952,14710,26498,362788,141711,62893,50988,100455,252711,108113,28477,94502,181420,346046,108813,86665,143585,23117,19530,28491,29688,186964,46071,447647,221343,122175,12841,309298,78704,74852,300511,29694,80448,12730,120202,535628,35751,12972,125201,131119,61005,105840,12263
1990/4/1,127634,19320,95906,75130,800505,89941,83820,12560,18341,383219,168077,14729,26786,360349,140658,62813,51262,100319,252054,107368,28999,96527,187180,342356,108707,85718,142473,23199,19119,28814,30642,189392,45744,444931,219084,125251,12764,304135,78107,75905,300541,30608,80785,12637,121445,535913,35536,13345,127091,129523,61180,105356,11990
1990/5/1,127584,19320,96254,75356,816288,90552,85719,12648,18770,388424,170348,14627,27107,362267,139685,62951,51886,100627,252391,108143,29844,100040,193139,340812,109051,85176,142857,23403,18983,29345,31479,192342,45662,444967,218088,129125,12797,301475,75342,77713,302183,31553,81779,12619,123046,537761,35375,13704,130643,128171,61960,105805,11836
1990/6/1,127954,19372,95665,75867,836767,91278,87746,12865,19214,394754,173156,14500,27357,367299,138777,63245,52770,101561,254593,110280,31058,104809,199405,341415,110061,85276,145213,23700,19061,30052,32223,196249,45817,448565,219262,134113,12917,301257,76554,79872,306166,32445,83105,12660,124770,540092,35244,14045,135532,126733,63299,107323,11789
1990/7/1,128884,19497,94825,76613,862854,91681,90017,13291,19728,402683,176312,14389,27547,373250,138367,63743,53826,103221,259402,113525,32657,110568,206318,344280,111620,86287,149683,24092,19202,30932,32972,201718,46329,455895,222676,140203,13073,303370,78378,82015,312486,33212,84551,12709,126560,543513,35184,14438,141475,125432,65208,109876,11801
1990/8/1,130373,19651,94103,77614,893883,91582,92563,13843,20308,412168,179637,14262,27784,378379,138859,64484,54964,105473,266648,117591,34562,116421,214065,348722,113339,88162,155737,24589,19350,31969,33815,209114,47204,467116,227817,147397,13194,306851,80886,83936,320523,33799,86013,12717,128615,549180,35249,14903,147913,125079,67504,113037,11865
1990/9/1,132136,19795,93404,78845,928608,91290,95320,19743,20890,422315,182805,14101,28194,381576,140600,65439,56261,108281,275660,121957,36790,121970,222523,354400,114990,90522,162319,25151,19567,33101,34796,217952,48266,481564,233671,155757,13235,311315,83930,85281,330104,34329,87596,12684,131442,556417,35495,15439,154500,126323,69884,116609,11974
1990/10/1,133925,19990,92633,80223,967139,91093,98285,21879,21400,432259,185682,13987,28895,383291,144512,66620,57716,111970,286026,126161,39471,127872,231643,362786,116761,93241,168513,25803,19855,34329,35920,227657,49419,498988,239500,165457,13219,317932,87141,85887,341629,35171,89609,12636,135479,564383,36005,15997,161392,129228,72208,121326,12078
1990/11/1,135482,20249,91490,81550,1006587,91013,101213,22814,21776,440806,187732,13987,29828,384139,150292,67780,59038,116394,296516,129627,42636,134240,240771,374841,118737,95928,173384,26568,20116,35627,37109,237126,50549,518775,245086,176163,13185,326731,89822,86154,354571,36514,92005,12580,140542,572563,36711,16538,168304,133451,74281,127269,12116
1990/12/1,136719,20538,89881,82658,1044110,91050,103946,23291,22056,447782,188690,14071,30832,384738,156567,68691,60001,121062,306379,132242,46120,140759,249361,389819,120846,98279,176661,27350,20344,36927,38279,245541,51571,540541,250912,186810,13188,336164,91524,86401,367808,38194,94446,12518,145664,580260,37447,17026,174651,138186,75990,133941,12064
1991/1/1,138018,20901,88505,83604,1080046,91409,106721,23516,22368,454878,188979,14243,31758,387135,162442,69472,60615,125512,316291,134448,49530,147098,257727,406696,123156,100506,178909,28049,20666,38198,39377,253025,52477,564605,257938,196245,13304,345064,92306,86887,380933,40036,96973,12493,150309,587629,38173,17461,180300,142802,77473,140689,11956
1991/2/1,139530,21370,88046,84361,1113622,92100,109684,23491,22786,463024,188557,14500,32413,392106,166979,70075,60877,129165,326620,136491,52265,152497,265934,422884,125392,102492,180375,28556,21122,39364,40368,259490,53233,589578,266318,203743,13529,352644,92426,87584,392801,41732,99472,12517,154355,594314,38870,17890,185072,146794,78833,146243,11843
1991/3/1,140885,21864,88785,84748,1141688,92807,112652,23199,23288,471714,186847,14763,32668,398690,168988,70314,60678,131575,336498,138251,53786,156046,273376,434421,126944,103852,180711,28766,21588,40280,41186,264518,53714,612515,275223,208914,13796,357765,91989,88379,401661,42994,101627,12573,157394,599036,39452,18254,188517,149656,80064,149256,11741
1991/4/1,141665,22295,90912,84654,1162138,93290,115397,22709,23813,480149,183571,15002,32613,405410,167812,70145,59970,132567,345029,139330,53917,157285,279464,439036,127401,104387,179703,28647,21987,40815,41797,267828,53830,630622,283338,211828,14020,359909,91271,89126,406364,43774,103323,12632,159219,601067,39868,18488,190474,151447,81143,149214,11641
1991/5/1,141711,22645,94528,84096,1175303,93473,117822,22109,24312,488247,179125,15202,32366,411664,164198,69617,58880,132312,351990,139587,52823,156611,283991,437290,126660,104010,177750,28272,22234,40978,42229,269636,53561,642149,289125,212276,14135,359225,90698,89872,406776,44182,104724,12657,160099,601574,40139,18579,191224,152561,82122,146616,11532
1991/6/1,141162,22919,99316,83218,1182773,93517,119917,21465,24720,495723,174197,15346,32027,418319,159399,68852,57594,131118,357444,139134,50890,154735,286968,431261,125218,102626,175195,27781,22368,40894,42495,270892,52959,647188,292275,210655,14112,355973,90310,90752,404191,44365,106137,12629,160518,602156,40308,18507,191280,153440,82966,142697,11427
1991/7/1,140414,23150,104728,82231,1187186,93784,121717,20819,25001,502116,169325,15510,31768,427130,154787,68066,56336,129461,361736,138131,48731,152660,288529,424104,123758,100399,172210,27358,22502,40783,42622,272803,52113,648056,293817,208464,13969,351338,90016,91899,400937,44497,107880,12563,160841,603154,40434,18292,191234,154622,83611,139073,11358
1991/8/1,139897,23421,110590,81505,1193091,94674,123359,20316,25217,508042,165483,15793,31695,439124,151803,67607,55304,128047,365857,137006,47099,151865,289113,419499,122783,97900,169421,27165,22656,40917,42718,276349,51313,648644,295411,207038,13780,347496,89486,93637,399727,44761,110167,12470,161341,606697,40552,18075,191884,156568,84249,136955,11377
1991/9/1,140002,23815,116878,81365,1205000,96208,125058,20023,25466,514769,163833,16256,31869,454353,151208,67673,54518,127292,370989,136495,46435,153211,289352,419496,122481,95819,167339,27286,22830,41570,42883,282200,51020,653053,298836,207478,13631,346629,88908,96281,402548,45217,112786,12361,162125,615125,40716,17982,193990,159603,85109,136314,11532
1991/10/1,140794,24317,123524,81828,1224569,98378,126910,19882,25814,522980,164891,16903,32268,471261,152636,68152,54040,127047,377581,137124,46738,156654,289616,423653,122666,94517,165898,27628,23008,42755,43123,290172,51309,663670,305115,210244,13585,349520,89091,99922,409330,45832,115318,12258,163199,628087,40974,18081,197755,163766,86249,136237,11832
1991/11/1,142134,24861,130257,82637,1250411,101001,128823,19820,26228,532238,168436,17639,32812,486783,155487,68863,53978,126873,385184,138989,47679,161723,289891,430048,122968,94117,165033,27965,23172,44218,43403,299061,52012,679534,313618,214706,13666,356000,90147,104129,418205,46529,117415,12164,164210,642973,41361,18348,202723,168380,87533,135755,12200
1991/12/1,143652,25339,136382,83402,1278587,103665,130507,19753,26594,540983,173382,18428,33357,498250,159386,69525,54300,126308,392727,141553,48747,167304,289734,436170,123075,94353,164516,28178,23282,45654,43681,307547,52802,697391,322773,219682,13847,365343,91499,108116,426626,47204,118796,12100,164726,656882,41896,18687,207955,172691,88639,134494,12535
1992/1/1,144989,25685,141154,83846,1306267,106115,131736,19699,26840,547858,178662,19308,33778,504413,163583,69885,54963,125244,399766,144265,49534,172260,288820,440095,122912,94805,164234,28259,23361,46836,43971,315112,53493,714534,331610,224205,14071,376817,92671,111180,432916,47787,119309,12087,164631,668826,42499,19014,212448,176249,89338,132791,12808
1992/2/1,146229,25882,144359,83930,1333521,108363,132618,19696,26990,553225,253992,20284,34027,506061,167754,69962,55922,124016,406913,146996,49807,175995,287556,441931,122679,95411,164402,28250,23479,47712,44297,322620,54026,730380,340346,227366,14304,388923,93461,113039,436944,48303,119252,12134,163842,679300,43028,19240,215571,179063,89667,131594,13024
1992/3/1,147458,25951,146038,83715,1360532,110441,133286,19715,27070,557607,249365,21371,34158,504526,171780,69775,57036,122947,414775,149583,49491,178045,286310,442542,122713,96162,164978,28217,23673,48337,44622,330822,54300,744298,349141,228814,14503,400251,93624,113720,439401,48730,119156,12235,162449,687982,43415,19366,217050,181361,89688,131720,13160
1992/4/1,148582,25944,146340,83349,1388062,112367,133873,19687,27119,561445,244795,22407,34301,501157,175785,69351,58282,122319,423680,152084,48698,178436,285337,442467,123306,97002,165637,28232,23950,48847,44946,339730,54371,756513,358223,229347,14633,409899,93254,113598,441525,49056,119367,12372,160813,694894,43639,19446,216989,183441,89560,133519,13233
1992/5/1,149339,25877,145530,82909,1414781,113970,134318,19636,27153,564303,240001,23266,34519,495543,179243,68886,59515,122235,432874,154267,47672,177641,284472,441549,124214,97803,165825,28311,24290,49323,45225,348388,54277,767035,367353,229420,14677,416940,92427,113118,443755,49207,119962,12498,159048,699380,43652,19504,215575,185722,89403,136729,13257
1992/6/1,149520,25779,144056,82403,1439222,114887,134509,19580,27199,565473,234740,24025,34864,486431,181365,68470,60521,122552,441401,155620,46746,176254,283351,439043,125078,98324,165158,28417,24587,49789,45428,355271,54092,775254,375341,229327,14655,420919,91097,112609,445663,49114,120699,12578,157414,701005,43481,19573,213130,188444,89249,140343,13237
1992/7/1,149147,25672,142497,81799,1461373,115067,134470,19487,27268,564726,228886,24744,35210,474092,181832,68126,61203,123018,448726,155952,46176,174836,281804,434435,125688,98273,163761,28464,24673,50248,45548,359407,53970,780619,381082,229045,14618,421767,89672,112490,446867,48796,121257,12593,156529,700666,43242,19645,210230,191463,89111,143312,13182
1992/8/1,148420,25490,141097,80931,1479284,114828,134179,19293,27317,561608,226765,25411,35379,460046,180476,67787,61548,123243,453922,155143,45924,173432,279574,426858,125891,97315,161890,28374,24565,50622,45563,360339,53906,782227,384239,228074,14590,419587,88486,112951,446566,48242,121503,12564,156503,698773,43010,19670,207184,194685,88788,144783,13054
1992/9/1,147705,25168,139888,79699,1491284,114578,133583,18980,27333,556274,213510,25981,35271,447148,177562,67446,61725,122759,456556,153139,45766,171769,276485,415720,125649,95377,160247,28138,24357,50825,45517,358357,53761,779806,385239,225652,14573,415121,87360,113698,443770,47416,121772,12554,156794,696021,42777,19629,203812,197831,88112,144481,12839
1992/10/1,147270,24716,138695,78208,1497394,114467,132662,18600,27302,549499,213617,26404,34896,438611,173613,67125,61945,121491,457097,150221,45468,169620,272593,401205,125014,92772,159671,27810,24249,50891,45495,354492,53630,773282,384482,221386,14548,409307,85933,114210,438504,46279,122486,12618,156983,693295,42461,19528,199965,200456,87069,142497,12617
1992/11/1,147338,24197,137531,76728,1499499,114463,131569,18219,27245,542478,212828,26685,34421,437075,169447,66885,62323,119937,456705,147133,44927,167188,268315,384833,124285,90121,160465,27482,24353,50985,45472,350351,53690,763520,382501,216071,14496,403469,84537,114355,432249,44996,124025,12792,157141,691077,42018,19377,195965,202492,85875,136329,12482
1992/12/1,147814,23703,136306,75476,1498906,114463,130379,17890,27157,535840,211428,26767,34019,442557,165910,66705,62881,118633,456012,144575,44191,164803,263909,369184,123853,87951,162327,27183,24610,51221,45254,346708,53960,751630,379439,210779,14403,398155,83724,114341,426327,43805,126535,13012,157316,688636,41429,19168,192041,203737,84850,130349,12469
1993/1/1,148259,23300,134586,74501,1495242,114058,128948,17637,26996,529408,209462,26591,33859,452605,163695,66354,63618,117774,454564,142766,43410,162694,259163,356699,123912,86417,164718,26912,24925,51636,44643,343014,54412,738266,374697,206031,14274,392656,83635,114271,421191,42827,129753,13179,157251,684383,40761,18871,188060,203940,84108,125307,12526
1993/2/1,148412,23020,132134,73790,1488936,112954,127166,17503,26772,523015,206998,26196,33961,463405,162973,65979,64476,117283,452006,141542,42763,161152,253946,348623,124420,85304,167065,26709,25168,52193,43584,338460,54928,724231,367811,201918,14131,386611,84245,114311,417133,42043,133225,13252,156873,678085,40120,18490,184181,203310,83611,121682,12615
1993/3/1,148283,22886,129067,73316,1481495,111092,125104,17535,26561,516893,204341,25708,34203,471615,163470,65865,65347,117034,448292,140780,42397,160631,248518,344899,125035,84323,168955,26598,25235,52813,42178,332803,55508,711102,359284,198276,14002,379874,85460,114594,414534,41364,136354,13213,156256,671135,39552,18040,180756,202351,83310,119599,12755
1993/4/1,147856,22846,125631,72924,1472664,108591,122769,17716,26391,510701,201592,25276,34372,475441,164554,65908,65931,116669,443258,140066,42374,160937,242954,344256,125231,83234,170047,26527,25035,53378,40556,326213,56021,699471,349836,194488,13890,372346,86747,115065,412851,40632,138474,13064,155220,664157,39062,17522,177831,201373,82997,118486,12903
1993/5/1,147241,22869,122331,72575,1464589,105924,120336,17987,26297,504946,199271,24975,34402,475670,166052,65902,66213,115897,437942,139360,42675,161532,237635,345315,124888,82116,170499,26464,24623,53828,38985,319486,56396,690595,341106,190601,13806,365520,87744,115547,411993,39853,139259,12870,153782,658808,38677,16980,175601,200621,82573,119125,13026
1993/6/1,146511,22922,119724,72262,1458823,103615,117948,18283,26295,500157,197761,24734,34245,473391,168000,65723,66346,114549,433501,139171,43126,161909,232911,347042,124022,81097,170630,26390,24107,54107,37681,313229,56573,685575,334914,186627,13747,360793,88534,115714,411751,39121,138691,12692,151857,656565,38332,16450,174118,199876,82011,116210,13120
1993/7/1,145359,22925,118051,71877,1452439,101662,115419,18570,26307,495374,196842,24543,33867,467667,139171,65165,66333,112438,429698,139514,43453,161582,228425,347972,122471,80156,170277,26229,23614,54082,36646,307312,56351,683054,331600,182305,13683,358176,88754,115013,410584,38445,136849,12559,149022,656173,37863,15938,172719,198521,81089,117355,13157
1993/8/1,143721,22881,117419,71401,1444771,99825,112731,18821,26298,490495,196544,24508,33413,458823,132047,64178,66211,109691,426811,140454,43498,160369,224062,347822,120615,79371,169219,25922,23200,53753,35794,301870,55763,681303,330469,178003,13613,357211,88298,113192,407727,37945,134088,12477,145405,655653,37241,15471,171060,196074,79881,117772,13148
1993/9/1,141760,22852,117809,70864,1436961,98169,110061,19039,26249,485987,196949,24767,32989,448137,131972,62976,66026,106967,425159,142236,43309,158453,220036,347676,118889,78950,167372,25501,22916,53247,34987,297194,54960,679141,330261,174260,13538,356983,87615,110576,403573,37730,131019,12413,141725,654252,36570,15066,169458,192711,78703,118319,13123
1993/10/1,139735,22870,119100,70345,1429923,96888,107653,19242,26183,482541,197907,25375,32644,436980,134799,61893,65892,104817,424515,144803,43029,156268,216619,348386,117648,78924,164887,25070,22858,52721,34100,293592,54073,676596,330114,171425,13482,357017,87080,107823,399267,37793,128351,12376,138639,652952,36008,14736,168361,189268,77828,119836,13094
1993/11/1,137915,22982,121014,69951,1425519,96185,105746,19459,26148,481254,199226,26322,32388,426530,139055,61190,66044,103398,424969,147827,42764,154117,214172,349789,116997,79292,162176,24744,23097,52338,33154,291479,53227,674635,329816,169464,13481,357412,86980,105274,396202,37948,126750,12382,136425,653160,35713,14486,168157,186526,77417,122444,13090
1993/12/1,136252,23189,123100,69652,1422429,95881,104282,19683,26119,481789,200344,27482,32184,416467,143157,60830,66387,102528,425837,150661,42525,152110,212532,349786,116318,79861,159213,24543,23530,52109,32232,290485,52508,671953,328410,167948,13493,357735,87264,102887,394665,37882,126217,12426,134887,654413,35690,14313,168807,184744,77260,125226,13111
