date,Solar,Wind
2023/3/12,29654,216488
2023/3/13,30718,351978
2023/3/14,29974,305148
2023/3/15,39441,68694
2023/3/16,45143,178316
2023/3/17,28538,174613
2023/3/18,30019,146098
2023/3/19,27333,77596
2023/3/20,44389,50722
2023/3/21,31023,116298
2023/3/22,33539,266259
2023/3/23,26541,297778
2023/3/24,24532,325669
2023/3/25,32503,282956
2023/3/26,27816,244128
2023/3/27,36916,103064
2023/3/28,47444,112103
2023/3/29,38099,155702
2023/3/30,34994,278052
2023/3/31,15118,208836
2023/4/1,31570,314150
2023/4/2,29076,203202
2023/4/3,39775,156367
2023/4/4,55780,126418
2023/4/5,57345,31882
2023/4/6,44183,87336
2023/4/7,50038,53035
2023/4/8,56610,65305
2023/4/9,55392,51237
2023/4/10,33677,159852
2023/4/11,40547,177932
2023/4/12,26705,299011
2023/4/13,39929,213885
2023/4/14,30230,154386
2023/4/15,42599,183594
2023/4/16,50913,104781
2023/4/17,46666,110361
2023/4/18,45424,163289
2023/4/19,55339,141223
2023/4/20,50397,146626
2023/4/21,48692,61390
2023/4/22,27481,126383
2023/4/23,32142,221817
2023/4/24,37704,146222
2023/4/25,35113,56121
2023/4/26,36902,34275
2023/4/27,43680,37799
2023/4/28,44501,101459
2023/4/29,30909,39665
2023/4/30,40456,66060
2023/5/1,42508,76354
2023/5/2,60832,80257
2023/5/3,64125,153531
2023/5/4,55959,148743
2023/5/5,49486,56040
2023/5/6,52985,28681
2023/5/7,37895,36967
2023/5/8,43204,38762
2023/5/9,24858,107534
2023/5/10,48082,141750
2023/5/11,45439,51816
2023/5/12,36777,82381
2023/5/13,41214,121795
2023/5/14,48779,80774
2023/5/15,45309,121891
2023/5/16,51532,195259
2023/5/17,55091,169525
2023/5/18,47098,127300
2023/5/19,46255,130260
2023/5/20,35560,149834
2023/5/21,25314,101245
2023/5/22,43829,71455
2023/5/23,41008,152483
2023/5/24,51205,147754
2023/5/25,50667,185973
2023/5/26,63609,145417
2023/5/27,53557,103027
2023/5/28,40721,108289
2023/5/29,37708,194057
2023/5/30,59361,204160
2023/5/31,50463,149094
2023/6/1,53492,134811
2023/6/2,58034,145999
2023/6/3,47059,112844
2023/6/4,42035,113854
2023/6/5,55580,109562
2023/6/6,53172,97203
2023/6/7,55801,94258
2023/6/8,53455,89104
2023/6/9,34419,82993
2023/6/10,50838,44392
2023/6/11,43575,37918
2023/6/12,44973,34266
2023/6/13,44059,73207
2023/6/14,54438,63878
2023/6/15,55696,48804
2023/6/16,60410,22363
2023/6/17,55063,22078
2023/6/18,43521,71633
2023/6/19,41836,42590
2023/6/20,38541,70829
2023/6/21,39506,23409
2023/6/22,37384,97046
2023/6/23,61466,43101
2023/6/24,65818,44167
2023/6/25,56367,65372
2023/6/26,54698,100225
2023/6/27,56356,49822
2023/6/28,57698,32186
2023/6/29,44728,43038
2023/6/30,40623,90244
